epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3473.76,1.03877,1.50388,1.23282,0.4551,0.44188,0.42207,0.3561,0.77,2.01778,1.11588,0.00333289,0.00333289,0.00333289
2,12011,1.05376,1.55707,1.24191,0.44537,0.43381,0.41467,0.34934,0.78009,2.0073,1.12159,0.00600626,0.00600626,0.00600626
3,16301.9,1.10697,1.74176,1.28115,0.46314,0.40994,0.41066,0.34355,0.79179,1.98727,1.13031,0.00801964,0.00801964,0.00801964
4,19619.3,1.15546,1.91109,1.31902,0.47662,0.4058,0.41051,0.34113,0.78756,1.9939,1.12808,0.00703,0.00703,0.00703
5,22985,1.14099,1.85425,1.30829,0.46933,0.42396,0.41866,0.35027,0.77435,1.96524,1.1161,0.00604,0.00604,0.00604
6,26358.3,1.12243,1.79226,1.29188,0.46149,0.43703,0.42359,0.3562,0.76848,1.95126,1.10998,0.00505,0.00505,0.00505
7,29709.6,1.10362,1.72349,1.27734,0.47457,0.43669,0.42829,0.36015,0.7651,1.94604,1.10686,0.00406,0.00406,0.00406
8,33117.4,1.08126,1.64108,1.2635,0.47183,0.44478,0.43153,0.36377,0.76235,1.94148,1.10439,0.00307,0.00307,0.00307
9,36487,1.05893,1.55047,1.2436,0.46153,0.44842,0.43376,0.36679,0.75927,1.93773,1.10155,0.00208,0.00208,0.00208
10,39832.9,1.03344,1.45354,1.22588,0.48767,0.44012,0.43605,0.36965,0.7566,1.93521,1.09969,0.00109,0.00109,0.00109
